Epoch: [0][0/105], lr: 0.00100	Time 18.640 (18.640)	Data 5.007 (5.007)	Loss 2.4829 (2.4829)	Prec@1 11.111 (11.111)	Prec@5 51.389 (51.389)
Epoch: [0][20/105], lr: 0.00100	Time 1.891 (2.751)	Data 0.000 (0.239)	Loss 1.5897 (1.8892)	Prec@1 44.444 (37.831)	Prec@5 90.278 (82.077)
Epoch: [0][40/105], lr: 0.00100	Time 1.887 (2.360)	Data 0.000 (0.122)	Loss 0.9740 (1.6376)	Prec@1 56.944 (44.309)	Prec@5 97.222 (87.940)
Epoch: [0][60/105], lr: 0.00100	Time 1.902 (2.212)	Data 0.000 (0.082)	Loss 1.2019 (1.4962)	Prec@1 56.944 (48.110)	Prec@5 95.833 (90.801)
Epoch: [0][80/105], lr: 0.00100	Time 1.892 (2.138)	Data 0.000 (0.062)	Loss 1.4020 (1.4100)	Prec@1 56.944 (50.737)	Prec@5 93.056 (92.335)
Epoch: [0][100/105], lr: 0.00100	Time 1.895 (2.092)	Data 0.000 (0.050)	Loss 1.0299 (1.3368)	Prec@1 62.500 (53.135)	Prec@5 98.611 (93.358)
Test: [0/22]	Time 4.983 (4.983)	Loss 0.9401 (0.9401)	Prec@1 56.944 (56.944)	Prec@5 98.611 (98.611)
Test: [20/22]	Time 0.914 (1.110)	Loss 1.1634 (0.7846)	Prec@1 54.167 (72.090)	Prec@5 95.833 (98.611)
Testing Results: Prec@1 72.178 Prec@5 98.622 Loss 0.78423
Best Prec@1: 72.178

Epoch: [1][0/105], lr: 0.00100	Time 5.118 (5.118)	Data 2.978 (2.978)	Loss 1.0865 (1.0865)	Prec@1 63.889 (63.889)	Prec@5 97.222 (97.222)
Epoch: [1][20/105], lr: 0.00100	Time 1.899 (2.059)	Data 0.000 (0.142)	Loss 0.8113 (0.9644)	Prec@1 68.056 (63.624)	Prec@5 100.000 (97.751)
Epoch: [1][40/105], lr: 0.00100	Time 1.943 (1.994)	Data 0.000 (0.073)	Loss 0.6844 (0.9333)	Prec@1 77.778 (64.431)	Prec@5 95.833 (98.069)
