Epoch: [0][580/2049], lr: 0.00100	Time 0.088 (0.101)	Data 0.000 (0.002)	Loss 1.9578 (3.9115)	Prec@1 100.000 (14.630)	Prec@5 100.000 (54.733)
Epoch: [0][600/2049], lr: 0.00100	Time 0.098 (0.101)	Data 0.000 (0.002)	Loss 2.1679 (3.8589)	Prec@1 0.000 (14.809)	Prec@5 100.000 (55.574)
Epoch: [0][620/2049], lr: 0.00100	Time 0.091 (0.101)	Data 0.000 (0.002)	Loss 3.5768 (3.8192)	Prec@1 0.000 (14.815)	Prec@5 0.000 (55.878)
Epoch: [0][640/2049], lr: 0.00100	Time 0.097 (0.100)	Data 0.000 (0.002)	Loss 1.9357 (3.7865)	Prec@1 100.000 (14.665)	Prec@5 100.000 (55.226)
Epoch: [0][660/2049], lr: 0.00100	Time 0.092 (0.100)	Data 0.000 (0.002)	Loss 3.0422 (3.7634)	Prec@1 0.000 (14.372)	Prec@5 0.000 (54.463)
Epoch: [0][680/2049], lr: 0.00100	Time 0.090 (0.100)	Data 0.000 (0.002)	Loss 2.3893 (3.7255)	Prec@1 0.000 (13.950)	Prec@5 100.000 (54.919)
Epoch: [0][700/2049], lr: 0.00100	Time 0.090 (0.100)	Data 0.000 (0.002)	Loss 2.4097 (3.6941)	Prec@1 0.000 (13.980)	Prec@5 100.000 (55.064)
Epoch: [0][720/2049], lr: 0.00100	Time 0.089 (0.099)	Data 0.000 (0.002)	Loss 3.1183 (3.6629)	Prec@1 0.000 (14.147)	Prec@5 0.000 (55.062)
Epoch: [0][740/2049], lr: 0.00100	Time 0.087 (0.099)	Data 0.000 (0.002)	Loss 1.9602 (3.6311)	Prec@1 100.000 (14.440)	Prec@5 100.000 (55.196)
Epoch: [0][760/2049], lr: 0.00100	Time 0.086 (0.099)	Data 0.000 (0.002)	Loss 2.7685 (3.6044)	Prec@1 0.000 (14.455)	Prec@5 0.000 (54.796)
Epoch: [0][780/2049], lr: 0.00100	Time 0.089 (0.099)	Data 0.000 (0.002)	Loss 2.6629 (3.5753)	Prec@1 0.000 (14.853)	Prec@5 0.000 (54.673)
Epoch: [0][800/2049], lr: 0.00100	Time 0.087 (0.099)	Data 0.000 (0.001)	Loss 1.6385 (3.5536)	Prec@1 100.000 (14.981)	Prec@5 100.000 (54.432)
Epoch: [0][820/2049], lr: 0.00100	Time 0.091 (0.099)	Data 0.000 (0.001)	Loss 2.5619 (3.5322)	Prec@1 0.000 (14.860)	Prec@5 100.000 (54.324)
Epoch: [0][840/2049], lr: 0.00100	Time 0.090 (0.098)	Data 0.000 (0.001)	Loss 2.3782 (3.5112)	Prec@1 0.000 (14.863)	Prec@5 100.000 (54.340)
Epoch: [0][860/2049], lr: 0.00100	Time 0.093 (0.098)	Data 0.000 (0.001)	Loss 2.6715 (3.4898)	Prec@1 0.000 (14.983)	Prec@5 100.000 (54.239)
Epoch: [0][880/2049], lr: 0.00100	Time 0.093 (0.098)	Data 0.000 (0.001)	Loss 2.7980 (3.4657)	Prec@1 0.000 (15.323)	Prec@5 0.000 (54.257)
Epoch: [0][900/2049], lr: 0.00100	Time 0.096 (0.098)	Data 0.000 (0.001)	Loss 2.2553 (3.4475)	Prec@1 0.000 (15.316)	Prec@5 100.000 (53.940)
Epoch: [0][920/2049], lr: 0.00100	Time 0.089 (0.098)	Data 0.000 (0.001)	Loss 2.4491 (3.4279)	Prec@1 0.000 (15.201)	Prec@5 100.000 (54.180)
Epoch: [0][940/2049], lr: 0.00100	Time 0.087 (0.098)	Data 0.000 (0.001)	Loss 2.1888 (3.4098)	Prec@1 0.000 (15.303)	Prec@5 100.000 (54.198)
Epoch: [0][960/2049], lr: 0.00100	Time 0.095 (0.098)	Data 0.000 (0.001)	Loss 3.3731 (3.3897)	Prec@1 0.000 (15.713)	Prec@5 0.000 (54.110)
Epoch: [0][980/2049], lr: 0.00100	Time 0.090 (0.098)	Data 0.000 (0.001)	Loss 3.2301 (3.3734)	Prec@1 0.000 (15.596)	Prec@5 0.000 (54.027)
Epoch: [0][1000/2049], lr: 0.00100	Time 0.093 (0.098)	Data 0.000 (0.001)	Loss 2.0774 (3.3574)	Prec@1 0.000 (15.584)	Prec@5 100.000 (53.946)
Epoch: [0][1020/2049], lr: 0.00100	Time 0.100 (0.097)	Data 0.000 (0.001)	Loss 2.9994 (3.3404)	Prec@1 0.000 (15.769)	Prec@5 0.000 (53.869)
Epoch: [0][1040/2049], lr: 0.00100	Time 0.087 (0.097)	Data 0.000 (0.001)	Loss 3.2403 (3.3312)	Prec@1 0.000 (15.562)	Prec@5 0.000 (53.506)
Epoch: [0][1060/2049], lr: 0.00100	Time 0.093 (0.097)	Data 0.000 (0.001)	Loss 1.7117 (3.3149)	Prec@1 100.000 (15.928)	Prec@5 100.000 (53.817)
Epoch: [0][1080/2049], lr: 0.00100	Time 0.087 (0.097)	Data 0.000 (0.001)	Loss 2.8141 (3.2987)	Prec@1 0.000 (16.096)	Prec@5 0.000 (53.839)
Epoch: [0][1100/2049], lr: 0.00100	Time 0.105 (0.097)	Data 0.000 (0.001)	Loss 2.4472 (3.2872)	Prec@1 0.000 (15.895)	Prec@5 100.000 (53.678)
Epoch: [0][1120/2049], lr: 0.00100	Time 0.101 (0.097)	Data 0.000 (0.001)	Loss 2.2675 (3.2710)	Prec@1 0.000 (15.879)	Prec@5 100.000 (54.059)
Epoch: [0][1140/2049], lr: 0.00100	Time 0.099 (0.097)	Data 0.000 (0.001)	Loss 2.9672 (3.2617)	Prec@1 0.000 (15.863)	Prec@5 0.000 (53.900)
Epoch: [0][1160/2049], lr: 0.00100	Time 0.090 (0.097)	Data 0.000 (0.001)	Loss 2.2328 (3.2564)	Prec@1 0.000 (15.762)	Prec@5 100.000 (53.661)
Epoch: [0][1180/2049], lr: 0.00100	Time 0.091 (0.097)	Data 0.000 (0.001)	Loss 2.7092 (3.2443)	Prec@1 0.000 (15.665)	Prec@5 0.000 (53.599)
Epoch: [0][1200/2049], lr: 0.00100	Time 0.100 (0.097)	Data 0.000 (0.001)	Loss 2.8966 (3.2343)	Prec@1 0.000 (15.654)	Prec@5 0.000 (53.455)
Epoch: [0][1220/2049], lr: 0.00100	Time 0.101 (0.097)	Data 0.000 (0.001)	Loss 2.8227 (3.2255)	Prec@1 0.000 (15.643)	Prec@5 0.000 (53.235)
Epoch: [0][1240/2049], lr: 0.00100	Time 0.101 (0.097)	Data 0.000 (0.001)	Loss 2.1131 (3.2128)	Prec@1 0.000 (15.471)	Prec@5 100.000 (53.505)
Epoch: [0][1260/2049], lr: 0.00100	Time 0.097 (0.097)	Data 0.000 (0.001)	Loss 2.2960 (3.2044)	Prec@1 0.000 (15.385)	Prec@5 100.000 (53.450)
Epoch: [0][1280/2049], lr: 0.00100	Time 0.098 (0.097)	Data 0.000 (0.001)	Loss 2.0706 (3.1933)	Prec@1 0.000 (15.301)	Prec@5 100.000 (53.474)
Epoch: [0][1300/2049], lr: 0.00100	Time 0.095 (0.097)	Data 0.000 (0.001)	Loss 1.9752 (3.1836)	Prec@1 100.000 (15.296)	Prec@5 100.000 (53.651)
Epoch: [0][1320/2049], lr: 0.00100	Time 0.098 (0.097)	Data 0.000 (0.001)	Loss 4.9350 (3.1777)	Prec@1 0.000 (15.064)	Prec@5 0.000 (53.444)
Epoch: [0][1340/2049], lr: 0.00100	Time 0.099 (0.097)	Data 0.000 (0.001)	Loss 2.5749 (3.1686)	Prec@1 0.000 (14.914)	Prec@5 0.000 (53.244)
Epoch: [0][1360/2049], lr: 0.00100	Time 0.095 (0.097)	Data 0.000 (0.001)	Loss 2.2007 (3.1587)	Prec@1 0.000 (14.842)	Prec@5 100.000 (53.270)
Epoch: [0][1380/2049], lr: 0.00100	Time 0.103 (0.097)	Data 0.000 (0.001)	Loss 2.4748 (3.1518)	Prec@1 0.000 (14.772)	Prec@5 100.000 (53.077)
Epoch: [0][1400/2049], lr: 0.00100	Time 0.093 (0.097)	Data 0.000 (0.001)	Loss 2.6210 (3.1426)	Prec@1 0.000 (14.704)	Prec@5 0.000 (53.176)
Epoch: [0][1420/2049], lr: 0.00100	Time 0.090 (0.097)	Data 0.000 (0.001)	Loss 2.9273 (3.1339)	Prec@1 0.000 (14.919)	Prec@5 0.000 (53.132)
Epoch: [0][1440/2049], lr: 0.00100	Time 0.094 (0.097)	Data 0.000 (0.001)	Loss 3.1669 (3.1246)	Prec@1 0.000 (14.990)	Prec@5 0.000 (53.366)
Epoch: [0][1460/2049], lr: 0.00100	Time 0.088 (0.097)	Data 0.000 (0.001)	Loss 1.4008 (3.1125)	Prec@1 100.000 (15.400)	Prec@5 100.000 (53.593)
Epoch: [0][1480/2049], lr: 0.00100	Time 0.098 (0.097)	Data 0.000 (0.001)	Loss 3.0743 (3.1061)	Prec@1 0.000 (15.327)	Prec@5 0.000 (53.545)
Epoch: [0][1500/2049], lr: 0.00100	Time 0.104 (0.097)	Data 0.000 (0.001)	Loss 1.6720 (3.0976)	Prec@1 100.000 (15.323)	Prec@5 100.000 (53.631)
Epoch: [0][1520/2049], lr: 0.00100	Time 0.088 (0.097)	Data 0.000 (0.001)	Loss 1.9873 (3.0912)	Prec@1 0.000 (15.253)	Prec@5 100.000 (53.583)
Epoch: [0][1540/2049], lr: 0.00100	Time 0.095 (0.097)	Data 0.000 (0.001)	Loss 2.7567 (3.0831)	Prec@1 0.000 (15.250)	Prec@5 0.000 (53.796)
Epoch: [0][1560/2049], lr: 0.00100	Time 0.092 (0.097)	Data 0.000 (0.001)	Loss 2.0200 (3.0759)	Prec@1 0.000 (15.183)	Prec@5 100.000 (53.876)
Epoch: [0][1580/2049], lr: 0.00100	Time 0.091 (0.097)	Data 0.000 (0.001)	Loss 3.1227 (3.0725)	Prec@1 0.000 (14.991)	Prec@5 0.000 (53.763)
Epoch: [0][1600/2049], lr: 0.00100	Time 0.091 (0.097)	Data 0.000 (0.001)	Loss 1.9537 (3.0647)	Prec@1 100.000 (15.178)	Prec@5 100.000 (53.841)
Epoch: [0][1620/2049], lr: 0.00100	Time 0.094 (0.097)	Data 0.000 (0.001)	Loss 3.4252 (3.0604)	Prec@1 0.000 (15.176)	Prec@5 0.000 (53.794)
Epoch: [0][1640/2049], lr: 0.00100	Time 0.099 (0.097)	Data 0.000 (0.001)	Loss 5.2246 (3.0564)	Prec@1 0.000 (15.113)	Prec@5 0.000 (53.748)
Epoch: [0][1660/2049], lr: 0.00100	Time 0.099 (0.097)	Data 0.000 (0.001)	Loss 2.4934 (3.0495)	Prec@1 0.000 (14.931)	Prec@5 100.000 (53.763)
Epoch: [0][1680/2049], lr: 0.00100	Time 0.094 (0.097)	Data 0.000 (0.001)	Loss 2.4046 (3.0453)	Prec@1 0.000 (14.872)	Prec@5 100.000 (53.778)
Epoch: [0][1700/2049], lr: 0.00100	Time 0.102 (0.097)	Data 0.000 (0.001)	Loss 2.0990 (3.0387)	Prec@1 0.000 (14.932)	Prec@5 100.000 (53.792)
Epoch: [0][1720/2049], lr: 0.00100	Time 0.097 (0.098)	Data 0.000 (0.001)	Loss 2.4492 (3.0323)	Prec@1 0.000 (14.875)	Prec@5 100.000 (53.690)
Epoch: [0][1740/2049], lr: 0.00100	Time 0.102 (0.098)	Data 0.000 (0.001)	Loss 1.8698 (3.0236)	Prec@1 100.000 (14.877)	Prec@5 100.000 (53.877)
Epoch: [0][1760/2049], lr: 0.00100	Time 0.101 (0.098)	Data 0.000 (0.001)	Loss 1.7493 (3.0168)	Prec@1 100.000 (14.991)	Prec@5 100.000 (54.003)
Epoch: [0][1780/2049], lr: 0.00100	Time 0.102 (0.098)	Data 0.000 (0.001)	Loss 2.5386 (3.0099)	Prec@1 0.000 (15.216)	Prec@5 100.000 (54.015)
Epoch: [0][1800/2049], lr: 0.00100	Time 0.100 (0.098)	Data 0.000 (0.001)	Loss 2.5675 (3.0066)	Prec@1 0.000 (15.214)	Prec@5 100.000 (53.859)
Epoch: [0][1820/2049], lr: 0.00100	Time 0.105 (0.098)	Data 0.000 (0.001)	Loss 2.2407 (3.0009)	Prec@1 0.000 (15.211)	Prec@5 100.000 (53.817)
Epoch: [0][1840/2049], lr: 0.00100	Time 0.113 (0.098)	Data 0.000 (0.001)	Loss 1.8037 (2.9981)	Prec@1 100.000 (15.100)	Prec@5 100.000 (53.721)
Epoch: [0][1860/2049], lr: 0.00100	Time 0.104 (0.098)	Data 0.000 (0.001)	Loss 3.1607 (2.9922)	Prec@1 0.000 (15.153)	Prec@5 0.000 (53.735)
Epoch: [0][1880/2049], lr: 0.00100	Time 0.111 (0.098)	Data 0.000 (0.001)	Loss 2.6455 (2.9919)	Prec@1 0.000 (15.152)	Prec@5 0.000 (53.535)
Epoch: [0][1900/2049], lr: 0.00100	Time 0.096 (0.098)	Data 0.000 (0.001)	Loss 2.6023 (2.9846)	Prec@1 0.000 (15.360)	Prec@5 100.000 (53.656)
Epoch: [0][1920/2049], lr: 0.00100	Time 0.111 (0.098)	Data 0.000 (0.001)	Loss 4.4157 (2.9789)	Prec@1 0.000 (15.565)	Prec@5 0.000 (53.826)
Epoch: [0][1940/2049], lr: 0.00100	Time 0.114 (0.098)	Data 0.000 (0.001)	Loss 1.4357 (2.9751)	Prec@1 100.000 (15.559)	Prec@5 100.000 (53.890)
Epoch: [0][1960/2049], lr: 0.00100	Time 0.113 (0.098)	Data 0.000 (0.001)	Loss 1.6689 (2.9728)	Prec@1 100.000 (15.451)	Prec@5 100.000 (53.748)
Epoch: [0][1980/2049], lr: 0.00100	Time 0.100 (0.098)	Data 0.000 (0.001)	Loss 2.3649 (2.9707)	Prec@1 0.000 (15.396)	Prec@5 100.000 (53.609)
Epoch: [0][2000/2049], lr: 0.00100	Time 0.107 (0.098)	Data 0.000 (0.001)	Loss 2.0471 (2.9645)	Prec@1 0.000 (15.342)	Prec@5 100.000 (53.773)
Epoch: [0][2020/2049], lr: 0.00100	Time 0.095 (0.098)	Data 0.000 (0.001)	Loss 5.3001 (2.9621)	Prec@1 0.000 (15.339)	Prec@5 0.000 (53.736)
Epoch: [0][2040/2049], lr: 0.00100	Time 0.093 (0.098)	Data 0.000 (0.001)	Loss 1.6609 (2.9551)	Prec@1 100.000 (15.483)	Prec@5 100.000 (53.846)
Test: [0/410]	Time 1.783 (1.783)	Loss 2.9578 (2.9578)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.000)
Test: [20/410]	Time 0.031 (0.132)	Loss 2.9598 (2.9582)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.000)
Test: [40/410]	Time 0.030 (0.095)	Loss 10.1809 (5.6024)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.000)
Test: [60/410]	Time 0.030 (0.078)	Loss 3.1778 (6.6409)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.000)
Test: [80/410]	Time 0.031 (0.072)	Loss 3.1488 (5.7827)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.000)
Test: [100/410]	Time 0.030 (0.068)	Loss 7.1564 (5.6976)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.000)
Test: [120/410]	Time 0.030 (0.066)	Loss 2.6379 (5.7855)	Prec@1 0.000 (0.000)	Prec@5 100.000 (3.306)
Test: [140/410]	Time 0.029 (0.067)	Loss 2.6346 (5.3387)	Prec@1 0.000 (0.000)	Prec@5 100.000 (17.021)
Test: [160/410]	Time 0.032 (0.063)	Loss 1.9216 (4.9452)	Prec@1 0.000 (0.000)	Prec@5 100.000 (27.329)
Test: [180/410]	Time 0.167 (0.062)	Loss 3.3242 (4.6964)	Prec@1 0.000 (0.000)	Prec@5 0.000 (29.282)
Test: [200/410]	Time 0.032 (0.063)	Loss 1.9284 (4.5459)	Prec@1 0.000 (0.000)	Prec@5 100.000 (27.363)
Test: [220/410]	Time 0.030 (0.060)	Loss 1.9337 (4.3098)	Prec@1 0.000 (0.000)	Prec@5 100.000 (33.937)
