Epoch: [4][20/105], lr: 0.00100	Time 1.886 (2.471)	Data 0.000 (0.507)	Loss 0.3926 (0.5022)	Prec@1 84.722 (82.407)	Prec@5 100.000 (99.140)
Epoch: [4][40/105], lr: 0.00100	Time 1.903 (2.227)	Data 0.000 (0.260)	Loss 0.3262 (0.4651)	Prec@1 86.111 (83.367)	Prec@5 100.000 (99.424)
Epoch: [4][60/105], lr: 0.00100	Time 1.908 (2.144)	Data 0.000 (0.175)	Loss 0.4501 (0.4690)	Prec@1 84.722 (83.607)	Prec@5 100.000 (99.454)
Epoch: [4][80/105], lr: 0.00100	Time 1.904 (2.099)	Data 0.000 (0.132)	Loss 0.4729 (0.4783)	Prec@1 83.333 (83.333)	Prec@5 98.611 (99.366)
Epoch: [4][100/105], lr: 0.00100	Time 1.903 (2.061)	Data 0.000 (0.106)	Loss 0.2928 (0.4771)	Prec@1 90.278 (83.540)	Prec@5 98.611 (99.381)
Test: [0/22]	Time 12.368 (12.368)	Loss 0.5326 (0.5326)	Prec@1 84.722 (84.722)	Prec@5 100.000 (100.000)
Test: [20/22]	Time 0.960 (1.544)	Loss 0.6719 (0.4282)	Prec@1 80.556 (87.169)	Prec@5 98.611 (99.140)
Testing Results: Prec@1 87.205 Prec@5 99.147 Loss 0.42609
Best Prec@1: 87.205

Epoch: [5][0/105], lr: 0.00100	Time 15.601 (15.601)	Data 13.703 (13.703)	Loss 0.3983 (0.3983)	Prec@1 86.111 (86.111)	Prec@5 100.000 (100.000)
Epoch: [5][20/105], lr: 0.00100	Time 2.029 (2.590)	Data 0.000 (0.653)	Loss 0.5175 (0.4022)	Prec@1 80.556 (86.310)	Prec@5 100.000 (99.471)
Epoch: [5][40/105], lr: 0.00100	Time 1.914 (2.275)	Data 0.000 (0.334)	Loss 0.1790 (0.4042)	Prec@1 91.667 (85.976)	Prec@5 100.000 (99.356)
Epoch: [5][60/105], lr: 0.00100	Time 2.051 (2.172)	Data 0.000 (0.225)	Loss 0.4116 (0.4049)	Prec@1 84.722 (86.088)	Prec@5 98.611 (99.408)
Epoch: [5][80/105], lr: 0.00100	Time 1.903 (2.114)	Data 0.000 (0.169)	Loss 0.2825 (0.4016)	Prec@1 91.667 (86.351)	Prec@5 100.000 (99.434)
Epoch: [5][100/105], lr: 0.00100	Time 1.979 (2.075)	Data 0.000 (0.136)	Loss 0.3646 (0.4053)	Prec@1 84.722 (86.276)	Prec@5 98.611 (99.409)
Test: [0/22]	Time 10.959 (10.959)	Loss 0.2953 (0.2953)	Prec@1 91.667 (91.667)	Prec@5 100.000 (100.000)
Test: [20/22]	Time 1.065 (1.585)	Loss 0.9032 (0.4794)	Prec@1 77.778 (86.574)	Prec@5 98.611 (99.471)
Testing Results: Prec@1 86.614 Prec@5 99.475 Loss 0.47805
Best Prec@1: 87.205

Epoch: [6][0/105], lr: 0.00100	Time 11.852 (11.852)	Data 9.901 (9.901)	Loss 0.3891 (0.3891)	Prec@1 87.500 (87.500)	Prec@5 100.000 (100.000)
Epoch: [6][20/105], lr: 0.00100	Time 1.889 (2.552)	Data 0.000 (0.606)	Loss 0.5074 (0.4072)	Prec@1 81.944 (86.177)	Prec@5 98.611 (99.405)
Epoch: [6][40/105], lr: 0.00100	Time 1.904 (2.262)	Data 0.000 (0.311)	Loss 0.3685 (0.3845)	Prec@1 86.111 (87.297)	Prec@5 100.000 (99.356)
Epoch: [6][60/105], lr: 0.00100	Time 1.906 (2.163)	Data 0.000 (0.209)	Loss 0.5081 (0.3955)	Prec@1 83.333 (86.771)	Prec@5 98.611 (99.362)
Epoch: [6][80/105], lr: 0.00100	Time 1.907 (2.112)	Data 0.000 (0.157)	Loss 0.3402 (0.3945)	Prec@1 90.278 (86.900)	Prec@5 100.000 (99.451)
Epoch: [6][100/105], lr: 0.00100	Time 1.929 (2.072)	Data 0.000 (0.126)	Loss 0.1740 (0.3879)	Prec@1 97.222 (87.019)	Prec@5 100.000 (99.477)
Test: [0/22]	Time 11.347 (11.347)	Loss 0.4302 (0.4302)	Prec@1 87.500 (87.500)	Prec@5 97.222 (97.222)
Test: [20/22]	Time 0.953 (1.492)	Loss 0.9694 (0.4264)	Prec@1 72.222 (87.434)	Prec@5 100.000 (99.537)
Testing Results: Prec@1 87.467 Prec@5 99.541 Loss 0.42412
Best Prec@1: 87.467

Epoch: [7][0/105], lr: 0.00100	Time 14.644 (14.644)	Data 12.749 (12.749)	Loss 0.2968 (0.2968)	Prec@1 90.278 (90.278)	Prec@5 100.000 (100.000)
Epoch: [7][20/105], lr: 0.00100	Time 1.889 (2.567)	Data 0.000 (0.607)	Loss 0.1738 (0.3258)	Prec@1 95.833 (89.749)	Prec@5 100.000 (99.669)
Epoch: [7][40/105], lr: 0.00100	Time 2.076 (2.267)	Data 0.000 (0.311)	Loss 0.2926 (0.3438)	Prec@1 91.667 (88.618)	Prec@5 100.000 (99.729)
Epoch: [7][60/105], lr: 0.00100	Time 1.917 (2.169)	Data 0.000 (0.209)	Loss 0.2334 (0.3448)	Prec@1 91.667 (88.593)	Prec@5 100.000 (99.681)
Epoch: [7][80/105], lr: 0.00100	Time 1.910 (2.116)	Data 0.000 (0.158)	Loss 0.5710 (0.3363)	Prec@1 81.944 (88.803)	Prec@5 100.000 (99.691)
Epoch: [7][100/105], lr: 0.00100	Time 1.903 (2.075)	Data 0.000 (0.126)	Loss 0.4065 (0.3369)	Prec@1 87.500 (88.586)	Prec@5 100.000 (99.684)
Test: [0/22]	Time 13.172 (13.172)	Loss 0.3813 (0.3813)	Prec@1 90.278 (90.278)	Prec@5 100.000 (100.000)
Test: [20/22]	Time 0.952 (1.562)	Loss 0.9127 (0.5234)	Prec@1 80.556 (86.839)	Prec@5 97.222 (99.735)
Testing Results: Prec@1 86.942 Prec@5 99.738 Loss 0.51980
Best Prec@1: 87.467

Epoch: [8][0/105], lr: 0.00100	Time 14.056 (14.056)	Data 12.156 (12.156)	Loss 0.1454 (0.1454)	Prec@1 93.056 (93.056)	Prec@5 100.000 (100.000)
Epoch: [8][20/105], lr: 0.00100	Time 1.888 (2.525)	Data 0.000 (0.579)	Loss 0.3490 (0.3204)	Prec@1 86.111 (89.484)	Prec@5 98.611 (99.603)
Epoch: [8][40/105], lr: 0.00100	Time 2.052 (2.247)	Data 0.000 (0.297)	Loss 0.3259 (0.3022)	Prec@1 90.278 (89.837)	Prec@5 98.611 (99.695)
Epoch: [8][60/105], lr: 0.00100	Time 1.905 (2.151)	Data 0.000 (0.199)	Loss 0.2078 (0.2990)	Prec@1 91.667 (90.005)	Prec@5 100.000 (99.704)
Epoch: [8][80/105], lr: 0.00100	Time 1.905 (2.101)	Data 0.000 (0.150)	Loss 0.3019 (0.2963)	Prec@1 87.500 (90.003)	Prec@5 100.000 (99.709)
Epoch: [8][100/105], lr: 0.00100	Time 1.906 (2.064)	Data 0.000 (0.120)	Loss 0.3053 (0.2959)	Prec@1 91.667 (90.182)	Prec@5 100.000 (99.656)
Test: [0/22]	Time 11.623 (11.623)	Loss 0.4808 (0.4808)	Prec@1 90.278 (90.278)	Prec@5 98.611 (98.611)
Test: [20/22]	Time 0.954 (1.514)	Loss 0.7179 (0.3702)	Prec@1 81.944 (90.079)	Prec@5 98.611 (99.405)
Testing Results: Prec@1 90.157 Prec@5 99.409 Loss 0.36798
Best Prec@1: 90.157

Epoch: [9][0/105], lr: 0.00100	Time 14.193 (14.193)	Data 12.222 (12.222)	Loss 0.1859 (0.1859)	Prec@1 93.056 (93.056)	Prec@5 100.000 (100.000)
Epoch: [9][20/105], lr: 0.00100	Time 1.888 (2.537)	Data 0.000 (0.582)	Loss 0.2654 (0.2684)	Prec@1 90.278 (91.402)	Prec@5 100.000 (99.934)
Epoch: [9][40/105], lr: 0.00100	Time 2.047 (2.263)	Data 0.000 (0.298)	Loss 0.3710 (0.2934)	Prec@1 87.500 (90.176)	Prec@5 100.000 (99.932)
Epoch: [9][60/105], lr: 0.00100	Time 1.905 (2.163)	Data 0.000 (0.200)	Loss 0.3853 (0.3017)	Prec@1 91.667 (90.050)	Prec@5 100.000 (99.863)
Epoch: [9][80/105], lr: 0.00100	Time 1.909 (2.112)	Data 0.000 (0.151)	Loss 0.2864 (0.2959)	Prec@1 88.889 (90.346)	Prec@5 100.000 (99.863)
Epoch: [9][100/105], lr: 0.00100	Time 1.905 (2.075)	Data 0.000 (0.121)	Loss 0.2941 (0.2929)	Prec@1 91.667 (90.319)	Prec@5 100.000 (99.849)
Test: [0/22]	Time 14.109 (14.109)	Loss 0.2908 (0.2908)	Prec@1 90.278 (90.278)	Prec@5 100.000 (100.000)
Test: [20/22]	Time 0.952 (1.597)	Loss 1.1231 (0.4415)	Prec@1 76.389 (89.220)	Prec@5 98.611 (99.537)
Testing Results: Prec@1 89.108 Prec@5 99.541 Loss 0.44213
Best Prec@1: 90.157

