Epoch: [4][20/118], lr: 0.00010	Time 1.691 (1.926)	Data 0.000 (0.204)	Loss 1.0111 (0.7118)	Prec@1 62.500 (75.149)	Prec@5 98.438 (98.810)
Epoch: [4][40/118], lr: 0.00010	Time 1.676 (1.834)	Data 0.000 (0.104)	Loss 0.9027 (0.7274)	Prec@1 68.750 (73.857)	Prec@5 98.438 (98.819)
Epoch: [4][60/118], lr: 0.00010	Time 1.678 (1.787)	Data 0.000 (0.070)	Loss 0.8157 (0.7184)	Prec@1 68.750 (74.078)	Prec@5 98.438 (98.719)
Epoch: [4][80/118], lr: 0.00010	Time 1.688 (1.766)	Data 0.000 (0.053)	Loss 0.5801 (0.7132)	Prec@1 76.562 (74.093)	Prec@5 100.000 (98.785)
Epoch: [4][100/118], lr: 0.00010	Time 1.675 (1.750)	Data 0.000 (0.042)	Loss 0.6164 (0.7101)	Prec@1 75.000 (74.196)	Prec@5 100.000 (98.716)
Test: [0/24]	Time 4.301 (4.301)	Loss 0.8253 (0.8253)	Prec@1 70.312 (70.312)	Prec@5 100.000 (100.000)
Test: [20/24]	Time 0.773 (0.947)	Loss 1.1854 (0.9447)	Prec@1 65.625 (68.229)	Prec@5 98.438 (99.405)
Testing Results: Prec@1 68.504 Prec@5 99.475 Loss 0.92049
Best Prec@1: 69.160

Epoch: [5][0/118], lr: 0.00010	Time 5.257 (5.257)	Data 3.552 (3.552)	Loss 0.4819 (0.4819)	Prec@1 79.688 (79.688)	Prec@5 100.000 (100.000)
Epoch: [5][20/118], lr: 0.00010	Time 1.662 (1.839)	Data 0.000 (0.169)	Loss 0.7824 (0.6176)	Prec@1 73.438 (76.562)	Prec@5 100.000 (99.702)
Epoch: [5][40/118], lr: 0.00010	Time 1.715 (1.763)	Data 0.000 (0.087)	Loss 0.6109 (0.6269)	Prec@1 73.438 (76.448)	Prec@5 100.000 (99.428)
Epoch: [5][60/118], lr: 0.00010	Time 1.686 (1.741)	Data 0.000 (0.058)	Loss 0.5893 (0.6453)	Prec@1 78.125 (75.973)	Prec@5 96.875 (99.206)
Epoch: [5][80/118], lr: 0.00010	Time 1.681 (1.729)	Data 0.000 (0.044)	Loss 0.7169 (0.6507)	Prec@1 76.562 (75.752)	Prec@5 100.000 (99.325)
Epoch: [5][100/118], lr: 0.00010	Time 1.668 (1.720)	Data 0.000 (0.035)	Loss 0.5970 (0.6424)	Prec@1 75.000 (76.191)	Prec@5 100.000 (99.304)
Test: [0/24]	Time 4.829 (4.829)	Loss 1.0577 (1.0577)	Prec@1 60.938 (60.938)	Prec@5 98.438 (98.438)
Test: [20/24]	Time 0.773 (0.967)	Loss 1.6951 (1.0806)	Prec@1 56.250 (66.815)	Prec@5 95.312 (98.958)
Testing Results: Prec@1 67.782 Prec@5 99.081 Loss 1.04092
Best Prec@1: 69.160

Epoch: [6][0/118], lr: 0.00010	Time 4.216 (4.216)	Data 2.484 (2.484)	Loss 0.7542 (0.7542)	Prec@1 73.438 (73.438)	Prec@5 98.438 (98.438)
Epoch: [6][20/118], lr: 0.00010	Time 1.673 (1.807)	Data 0.000 (0.118)	Loss 0.7782 (0.6318)	Prec@1 71.875 (77.307)	Prec@5 98.438 (99.256)
Epoch: [6][40/118], lr: 0.00010	Time 1.696 (1.749)	Data 0.000 (0.061)	Loss 0.6164 (0.6227)	Prec@1 78.125 (77.439)	Prec@5 100.000 (99.162)
Epoch: [6][60/118], lr: 0.00010	Time 1.751 (1.734)	Data 0.000 (0.041)	Loss 0.5475 (0.6304)	Prec@1 81.250 (76.844)	Prec@5 100.000 (99.027)
Epoch: [6][80/118], lr: 0.00010	Time 1.721 (1.727)	Data 0.000 (0.031)	Loss 0.5140 (0.6215)	Prec@1 79.688 (77.083)	Prec@5 100.000 (99.035)
Epoch: [6][100/118], lr: 0.00010	Time 1.672 (1.719)	Data 0.000 (0.025)	Loss 0.5587 (0.6159)	Prec@1 75.000 (77.429)	Prec@5 98.438 (98.948)
Test: [0/24]	Time 3.469 (3.469)	Loss 0.6768 (0.6768)	Prec@1 75.000 (75.000)	Prec@5 100.000 (100.000)
Test: [20/24]	Time 0.776 (0.970)	Loss 1.2047 (0.6996)	Prec@1 62.500 (76.339)	Prec@5 96.875 (99.479)
Testing Results: Prec@1 76.444 Prec@5 99.541 Loss 0.68801
Best Prec@1: 76.444

Epoch: [7][0/118], lr: 0.00010	Time 4.272 (4.272)	Data 2.510 (2.510)	Loss 0.6115 (0.6115)	Prec@1 78.125 (78.125)	Prec@5 100.000 (100.000)
Epoch: [7][20/118], lr: 0.00010	Time 1.666 (1.794)	Data 0.000 (0.120)	Loss 0.5300 (0.5929)	Prec@1 79.688 (79.018)	Prec@5 98.438 (98.884)
Epoch: [7][40/118], lr: 0.00010	Time 1.677 (1.738)	Data 0.000 (0.061)	Loss 0.4268 (0.5931)	Prec@1 82.812 (78.887)	Prec@5 98.438 (98.628)
Epoch: [7][60/118], lr: 0.00010	Time 1.734 (1.725)	Data 0.000 (0.041)	Loss 0.3255 (0.5783)	Prec@1 89.062 (79.508)	Prec@5 100.000 (98.822)
Epoch: [7][80/118], lr: 0.00010	Time 1.681 (1.720)	Data 0.000 (0.031)	Loss 0.5091 (0.5618)	Prec@1 79.688 (79.765)	Prec@5 100.000 (99.016)
Epoch: [7][100/118], lr: 0.00010	Time 1.675 (1.714)	Data 0.000 (0.025)	Loss 0.6178 (0.5532)	Prec@1 73.438 (80.012)	Prec@5 100.000 (99.025)
Test: [0/24]	Time 3.323 (3.323)	Loss 0.7712 (0.7712)	Prec@1 75.000 (75.000)	Prec@5 100.000 (100.000)
Test: [20/24]	Time 0.769 (0.923)	Loss 1.4760 (0.6667)	Prec@1 51.562 (76.786)	Prec@5 95.312 (99.107)
Testing Results: Prec@1 77.690 Prec@5 99.213 Loss 0.63563
Best Prec@1: 77.690

Epoch: [8][0/118], lr: 0.00010	Time 4.227 (4.227)	Data 2.452 (2.452)	Loss 0.6679 (0.6679)	Prec@1 82.812 (82.812)	Prec@5 98.438 (98.438)
Epoch: [8][20/118], lr: 0.00010	Time 1.787 (1.804)	Data 0.000 (0.122)	Loss 0.5911 (0.5620)	Prec@1 78.125 (80.134)	Prec@5 98.438 (99.107)
Epoch: [8][40/118], lr: 0.00010	Time 1.717 (1.743)	Data 0.000 (0.063)	Loss 0.3818 (0.5505)	Prec@1 84.375 (79.497)	Prec@5 98.438 (99.047)
Epoch: [8][60/118], lr: 0.00010	Time 1.685 (1.724)	Data 0.000 (0.042)	Loss 0.6236 (0.5393)	Prec@1 75.000 (79.559)	Prec@5 100.000 (99.129)
Epoch: [8][80/118], lr: 0.00010	Time 1.674 (1.716)	Data 0.000 (0.032)	Loss 0.4649 (0.5250)	Prec@1 76.562 (79.823)	Prec@5 100.000 (99.248)
Epoch: [8][100/118], lr: 0.00010	Time 1.670 (1.710)	Data 0.000 (0.026)	Loss 0.5370 (0.5258)	Prec@1 76.562 (79.981)	Prec@5 96.875 (99.149)
Test: [0/24]	Time 3.962 (3.962)	Loss 0.5649 (0.5649)	Prec@1 82.812 (82.812)	Prec@5 100.000 (100.000)
Test: [20/24]	Time 0.771 (0.931)	Loss 1.3958 (0.8125)	Prec@1 62.500 (76.562)	Prec@5 95.312 (99.107)
Testing Results: Prec@1 76.509 Prec@5 99.147 Loss 0.80063
Best Prec@1: 77.690

Epoch: [9][0/118], lr: 0.00010	Time 4.440 (4.440)	Data 2.714 (2.714)	Loss 0.5226 (0.5226)	Prec@1 82.812 (82.812)	Prec@5 100.000 (100.000)
Epoch: [9][20/118], lr: 0.00010	Time 1.711 (1.815)	Data 0.000 (0.129)	Loss 0.4362 (0.4960)	Prec@1 87.500 (81.027)	Prec@5 100.000 (99.479)
Epoch: [9][40/118], lr: 0.00010	Time 1.695 (1.751)	Data 0.000 (0.066)	Loss 0.4197 (0.4823)	Prec@1 85.938 (81.631)	Prec@5 100.000 (99.543)
Epoch: [9][60/118], lr: 0.00010	Time 1.702 (1.732)	Data 0.000 (0.045)	Loss 0.5860 (0.4830)	Prec@1 75.000 (81.839)	Prec@5 100.000 (99.488)
Epoch: [9][80/118], lr: 0.00010	Time 1.682 (1.723)	Data 0.000 (0.034)	Loss 0.4330 (0.4848)	Prec@1 79.688 (81.771)	Prec@5 98.438 (99.421)
Epoch: [9][100/118], lr: 0.00010	Time 1.670 (1.716)	Data 0.000 (0.027)	Loss 0.2941 (0.4912)	Prec@1 90.625 (81.544)	Prec@5 100.000 (99.412)
Test: [0/24]	Time 3.909 (3.909)	Loss 0.7110 (0.7110)	Prec@1 71.875 (71.875)	Prec@5 100.000 (100.000)
Test: [20/24]	Time 0.770 (0.931)	Loss 1.4463 (0.9807)	Prec@1 57.812 (72.247)	Prec@5 96.875 (99.405)
Testing Results: Prec@1 72.572 Prec@5 99.475 Loss 0.96637
Best Prec@1: 77.690

Epoch: [10][0/118], lr: 0.00010	Time 4.816 (4.816)	Data 3.045 (3.045)	Loss 0.3550 (0.3550)	Prec@1 84.375 (84.375)	Prec@5 100.000 (100.000)
Epoch: [10][20/118], lr: 0.00010	Time 1.659 (1.821)	Data 0.000 (0.145)	Loss 0.3451 (0.4524)	Prec@1 85.938 (82.961)	Prec@5 100.000 (99.628)
Epoch: [10][40/118], lr: 0.00010	Time 1.680 (1.757)	Data 0.000 (0.074)	Loss 0.7960 (0.4652)	Prec@1 75.000 (83.117)	Prec@5 95.312 (99.085)
Epoch: [10][60/118], lr: 0.00010	Time 1.697 (1.738)	Data 0.000 (0.050)	Loss 0.6087 (0.4488)	Prec@1 79.688 (83.683)	Prec@5 100.000 (99.257)
Epoch: [10][80/118], lr: 0.00010	Time 1.678 (1.729)	Data 0.000 (0.038)	Loss 0.6818 (0.4535)	Prec@1 76.562 (83.410)	Prec@5 98.438 (99.286)
