Epoch: [0][0/105], lr: 0.00100	Time 36.665 (36.665)	Data 15.114 (15.114)	Loss 2.4875 (2.4875)	Prec@1 15.278 (15.278)	Prec@5 34.722 (34.722)
Epoch: [0][20/105], lr: 0.00100	Time 1.905 (3.599)	Data 0.000 (0.720)	Loss 1.8677 (2.1099)	Prec@1 33.333 (30.093)	Prec@5 86.111 (77.116)
Epoch: [0][40/105], lr: 0.00100	Time 2.051 (2.804)	Data 0.000 (0.369)	Loss 1.7255 (1.8529)	Prec@1 40.278 (37.161)	Prec@5 91.667 (83.875)
Epoch: [0][60/105], lr: 0.00100	Time 1.912 (2.525)	Data 0.000 (0.248)	Loss 1.3065 (1.6528)	Prec@1 52.778 (43.693)	Prec@5 97.222 (87.750)
Epoch: [0][80/105], lr: 0.00100	Time 1.920 (2.387)	Data 0.000 (0.187)	Loss 1.1871 (1.5174)	Prec@1 58.333 (48.131)	Prec@5 98.611 (90.089)
Epoch: [0][100/105], lr: 0.00100	Time 1.919 (2.294)	Data 0.000 (0.150)	Loss 1.0177 (1.4268)	Prec@1 68.056 (51.196)	Prec@5 97.222 (91.488)
Test: [0/22]	Time 13.955 (13.955)	Loss 0.9049 (0.9049)	Prec@1 59.722 (59.722)	Prec@5 100.000 (100.000)
