Epoch: [0][0/105], lr: 0.00100	Time 19.462 (19.462)	Data 6.043 (6.043)	Loss 2.4911 (2.4911)	Prec@1 6.944 (6.944)	Prec@5 33.333 (33.333)
Epoch: [0][20/105], lr: 0.00100	Time 1.889 (2.712)	Data 0.000 (0.288)	Loss 1.4524 (1.9186)	Prec@1 44.444 (35.648)	Prec@5 97.222 (81.415)
Epoch: [0][40/105], lr: 0.00100	Time 1.913 (2.311)	Data 0.000 (0.148)	Loss 1.0624 (1.6087)	Prec@1 59.722 (44.953)	Prec@5 98.611 (88.449)
Epoch: [0][60/105], lr: 0.00100	Time 1.916 (2.175)	Data 0.000 (0.099)	Loss 0.9701 (1.4830)	Prec@1 66.667 (47.928)	Prec@5 97.222 (90.893)
Epoch: [0][80/105], lr: 0.00100	Time 1.867 (2.106)	Data 0.000 (0.075)	Loss 1.3612 (1.3934)	Prec@1 50.000 (50.789)	Prec@5 95.833 (92.250)
Epoch: [0][100/105], lr: 0.00100	Time 1.867 (2.060)	Data 0.000 (0.060)	Loss 1.0153 (1.3351)	Prec@1 61.111 (52.599)	Prec@5 94.444 (93.221)
Test: [0/22]	Time 4.516 (4.516)	Loss 0.9805 (0.9805)	Prec@1 58.333 (58.333)	Prec@5 98.611 (98.611)
Test: [20/22]	Time 0.932 (1.106)	Loss 1.1291 (0.8021)	Prec@1 52.778 (70.106)	Prec@5 97.222 (98.545)
Testing Results: Prec@1 70.276 Prec@5 98.556 Loss 0.80044
Best Prec@1: 70.276

Epoch: [1][0/105], lr: 0.00100	Time 6.394 (6.394)	Data 4.195 (4.195)	Loss 1.0031 (1.0031)	Prec@1 68.056 (68.056)	Prec@5 98.611 (98.611)
Epoch: [1][20/105], lr: 0.00100	Time 1.868 (2.100)	Data 0.000 (0.200)	Loss 1.0244 (0.9758)	Prec@1 56.944 (65.212)	Prec@5 97.222 (97.487)
Epoch: [1][40/105], lr: 0.00100	Time 1.876 (2.004)	Data 0.000 (0.102)	Loss 0.8446 (0.9493)	Prec@1 68.056 (65.617)	Prec@5 100.000 (98.103)
Epoch: [1][60/105], lr: 0.00100	Time 1.884 (1.976)	Data 0.000 (0.069)	Loss 0.6574 (0.9201)	Prec@1 73.611 (66.302)	Prec@5 100.000 (98.315)
Epoch: [1][80/105], lr: 0.00100	Time 1.886 (1.959)	Data 0.000 (0.052)	Loss 0.9215 (0.8982)	Prec@1 68.056 (67.010)	Prec@5 100.000 (98.560)
