Epoch: [0][580/2049], lr: 0.00100	Time 0.052 (0.063)	Data 0.000 (0.001)	Loss 1.4746 (2.6877)	Prec@1 100.000 (17.384)	Prec@5 100.000 (58.692)
Epoch: [0][600/2049], lr: 0.00100	Time 0.052 (0.063)	Data 0.000 (0.001)	Loss 2.3470 (2.6860)	Prec@1 0.000 (17.471)	Prec@5 100.000 (58.735)
Epoch: [0][620/2049], lr: 0.00100	Time 0.054 (0.063)	Data 0.000 (0.001)	Loss 4.2752 (2.6842)	Prec@1 0.000 (17.230)	Prec@5 0.000 (58.293)
Epoch: [0][640/2049], lr: 0.00100	Time 0.066 (0.063)	Data 0.000 (0.001)	Loss 2.2001 (2.6745)	Prec@1 0.000 (17.317)	Prec@5 100.000 (58.346)
Epoch: [0][660/2049], lr: 0.00100	Time 0.060 (0.063)	Data 0.000 (0.001)	Loss 2.1934 (2.6629)	Prec@1 0.000 (17.247)	Prec@5 100.000 (59.002)
Epoch: [0][680/2049], lr: 0.00100	Time 0.059 (0.063)	Data 0.000 (0.001)	Loss 1.0057 (2.6506)	Prec@1 100.000 (17.181)	Prec@5 100.000 (59.178)
Epoch: [0][700/2049], lr: 0.00100	Time 0.064 (0.063)	Data 0.000 (0.001)	Loss 2.6733 (2.6450)	Prec@1 0.000 (16.976)	Prec@5 100.000 (59.201)
Epoch: [0][720/2049], lr: 0.00100	Time 0.055 (0.063)	Data 0.000 (0.001)	Loss 3.4740 (2.6353)	Prec@1 0.000 (17.060)	Prec@5 0.000 (59.223)
Epoch: [0][740/2049], lr: 0.00100	Time 0.057 (0.062)	Data 0.000 (0.001)	Loss 1.9691 (2.6316)	Prec@1 0.000 (17.409)	Prec@5 100.000 (59.244)
Epoch: [0][760/2049], lr: 0.00100	Time 0.059 (0.062)	Data 0.000 (0.001)	Loss 2.7996 (2.6307)	Prec@1 0.000 (17.477)	Prec@5 0.000 (59.001)
Epoch: [0][780/2049], lr: 0.00100	Time 0.055 (0.062)	Data 0.000 (0.001)	Loss 3.4104 (2.6710)	Prec@1 0.000 (17.670)	Prec@5 0.000 (59.155)
Epoch: [0][800/2049], lr: 0.00100	Time 0.059 (0.062)	Data 0.000 (0.001)	Loss 3.3403 (2.6621)	Prec@1 0.000 (17.728)	Prec@5 0.000 (59.176)
Epoch: [0][820/2049], lr: 0.00100	Time 0.053 (0.062)	Data 0.000 (0.001)	Loss 2.3281 (2.6517)	Prec@1 0.000 (18.027)	Prec@5 100.000 (59.562)
Epoch: [0][840/2049], lr: 0.00100	Time 0.063 (0.062)	Data 0.000 (0.001)	Loss 0.0000 (2.6324)	Prec@1 100.000 (18.668)	Prec@5 100.000 (60.048)
Epoch: [0][860/2049], lr: 0.00100	Time 0.067 (0.062)	Data 0.000 (0.001)	Loss 1.1566 (2.6042)	Prec@1 100.000 (19.512)	Prec@5 100.000 (60.627)
