Epoch: [3][80/123], lr: 0.00010	Time 0.390 (0.387)	Data 0.000 (0.040)	Loss 0.0498 (0.2426)	Prec@1 100.000 (92.284)	Prec@5 100.000 (100.000)
Epoch: [3][100/123], lr: 0.00010	Time 0.317 (0.380)	Data 0.000 (0.032)	Loss 0.0661 (0.2397)	Prec@1 100.000 (92.327)	Prec@5 100.000 (100.000)
Epoch: [3][120/123], lr: 0.00010	Time 0.331 (0.371)	Data 0.000 (0.027)	Loss 0.0223 (0.2359)	Prec@1 100.000 (92.252)	Prec@5 100.000 (100.000)
Test: [0/49]	Time 2.374 (2.374)	Loss 0.0079 (0.0079)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)
Test: [20/49]	Time 0.169 (0.272)	Loss 0.3658 (0.1902)	Prec@1 100.000 (92.857)	Prec@5 100.000 (100.000)
Test: [40/49]	Time 0.140 (0.214)	Loss 0.0809 (0.2183)	Prec@1 100.000 (93.293)	Prec@5 100.000 (100.000)
Testing Results: Prec@1 94.344 Prec@5 100.000 Loss 0.18960
Best Prec@1: 94.344

Epoch: [4][0/123], lr: 0.00010	Time 3.833 (3.833)	Data 3.377 (3.377)	Loss 0.0705 (0.0705)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)
Epoch: [4][20/123], lr: 0.00010	Time 0.394 (0.543)	Data 0.000 (0.161)	Loss 0.3395 (0.2228)	Prec@1 87.500 (93.452)	Prec@5 100.000 (100.000)
Epoch: [4][40/123], lr: 0.00010	Time 0.396 (0.450)	Data 0.000 (0.083)	Loss 0.0105 (0.2166)	Prec@1 100.000 (93.902)	Prec@5 100.000 (100.000)
Epoch: [4][60/123], lr: 0.00010	Time 0.349 (0.420)	Data 0.001 (0.056)	Loss 0.0150 (0.1995)	Prec@1 100.000 (93.648)	Prec@5 100.000 (100.000)
Epoch: [4][80/123], lr: 0.00010	Time 0.346 (0.405)	Data 0.000 (0.042)	Loss 0.0353 (0.1886)	Prec@1 100.000 (93.827)	Prec@5 100.000 (100.000)
Epoch: [4][100/123], lr: 0.00010	Time 0.271 (0.394)	Data 0.000 (0.034)	Loss 0.2130 (0.1778)	Prec@1 87.500 (94.183)	Prec@5 100.000 (99.876)
Epoch: [4][120/123], lr: 0.00010	Time 0.370 (0.384)	Data 0.000 (0.028)	Loss 0.0307 (0.1914)	Prec@1 100.000 (93.802)	Prec@5 100.000 (99.690)
Test: [0/49]	Time 2.360 (2.360)	Loss 0.0038 (0.0038)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)
Test: [20/49]	Time 0.188 (0.285)	Loss 0.3246 (0.0885)	Prec@1 75.000 (95.833)	Prec@5 100.000 (100.000)
Test: [40/49]	Time 0.242 (0.224)	Loss 0.0598 (0.1122)	Prec@1 100.000 (96.341)	Prec@5 100.000 (100.000)
Testing Results: Prec@1 96.915 Prec@5 100.000 Loss 0.10059
Best Prec@1: 96.915

Epoch: [5][0/123], lr: 0.00010	Time 3.609 (3.609)	Data 3.217 (3.217)	Loss 0.2169 (0.2169)	Prec@1 87.500 (87.500)	Prec@5 100.000 (100.000)
Epoch: [5][20/123], lr: 0.00010	Time 0.328 (0.513)	Data 0.000 (0.154)	Loss 0.0837 (0.1121)	Prec@1 100.000 (95.238)	Prec@5 100.000 (100.000)
Epoch: [5][40/123], lr: 0.00010	Time 0.333 (0.436)	Data 0.000 (0.079)	Loss 0.0384 (0.1300)	Prec@1 100.000 (95.427)	Prec@5 100.000 (100.000)
Epoch: [5][60/123], lr: 0.00010	Time 0.298 (0.413)	Data 0.000 (0.053)	Loss 0.0325 (0.1267)	Prec@1 100.000 (95.902)	Prec@5 100.000 (100.000)
