Epoch: [0][660/2049], lr: 0.00100	Time 0.195 (0.206)	Data 0.000 (0.001)	Loss 3.3185 (2.3660)	Prec@1 0.000 (25.416)	Prec@5 0.000 (67.171)
Epoch: [0][680/2049], lr: 0.00100	Time 0.195 (0.205)	Data 0.000 (0.001)	Loss 1.6017 (2.3495)	Prec@1 100.000 (25.844)	Prec@5 100.000 (67.695)
Epoch: [0][700/2049], lr: 0.00100	Time 0.197 (0.205)	Data 0.000 (0.001)	Loss 0.8699 (2.3377)	Prec@1 100.000 (26.106)	Prec@5 100.000 (68.188)
Epoch: [0][720/2049], lr: 0.00100	Time 0.197 (0.205)	Data 0.000 (0.001)	Loss 0.5383 (2.3345)	Prec@1 100.000 (26.214)	Prec@5 100.000 (68.377)
Epoch: [0][740/2049], lr: 0.00100	Time 0.195 (0.205)	Data 0.000 (0.001)	Loss 2.2361 (2.3260)	Prec@1 0.000 (26.586)	Prec@5 100.000 (68.556)
Epoch: [0][760/2049], lr: 0.00100	Time 0.195 (0.204)	Data 0.000 (0.001)	Loss 2.1002 (2.3156)	Prec@1 0.000 (26.544)	Prec@5 100.000 (69.251)
Epoch: [0][780/2049], lr: 0.00100	Time 0.195 (0.204)	Data 0.000 (0.001)	Loss 1.6804 (2.3019)	Prec@1 0.000 (27.017)	Prec@5 100.000 (69.654)
Epoch: [0][800/2049], lr: 0.00100	Time 0.199 (0.204)	Data 0.000 (0.001)	Loss 1.5373 (2.3044)	Prec@1 0.000 (26.841)	Prec@5 100.000 (69.913)
Epoch: [0][820/2049], lr: 0.00100	Time 0.196 (0.204)	Data 0.000 (0.001)	Loss 4.7530 (2.2922)	Prec@1 0.000 (27.284)	Prec@5 0.000 (70.524)
Epoch: [0][840/2049], lr: 0.00100	Time 0.195 (0.203)	Data 0.000 (0.001)	Loss 3.8989 (2.2912)	Prec@1 0.000 (27.467)	Prec@5 0.000 (70.392)
Epoch: [0][860/2049], lr: 0.00100	Time 0.195 (0.203)	Data 0.000 (0.001)	Loss 1.4581 (2.2814)	Prec@1 0.000 (27.526)	Prec@5 100.000 (70.616)
Epoch: [0][880/2049], lr: 0.00100	Time 0.195 (0.203)	Data 0.000 (0.001)	Loss 2.1211 (2.2777)	Prec@1 0.000 (27.809)	Prec@5 100.000 (70.942)
Epoch: [0][900/2049], lr: 0.00100	Time 0.199 (0.203)	Data 0.000 (0.001)	Loss 3.7897 (2.2761)	Prec@1 0.000 (28.080)	Prec@5 0.000 (71.143)
Epoch: [0][920/2049], lr: 0.00100	Time 0.195 (0.203)	Data 0.000 (0.001)	Loss 1.8328 (2.2781)	Prec@1 0.000 (27.796)	Prec@5 100.000 (71.444)
Epoch: [0][940/2049], lr: 0.00100	Time 0.195 (0.203)	Data 0.000 (0.001)	Loss 2.2270 (2.2722)	Prec@1 0.000 (27.736)	Prec@5 100.000 (71.520)
Epoch: [0][960/2049], lr: 0.00100	Time 0.193 (0.202)	Data 0.000 (0.001)	Loss 1.3545 (2.2596)	Prec@1 0.000 (28.200)	Prec@5 100.000 (72.112)
Epoch: [0][980/2049], lr: 0.00100	Time 0.195 (0.202)	Data 0.000 (0.001)	Loss 2.4008 (2.2524)	Prec@1 0.000 (28.033)	Prec@5 100.000 (72.681)
Epoch: [0][1000/2049], lr: 0.00100	Time 0.196 (0.202)	Data 0.000 (0.001)	Loss 2.7766 (2.2446)	Prec@1 0.000 (28.372)	Prec@5 100.000 (72.927)
Epoch: [0][1020/2049], lr: 0.00100	Time 0.195 (0.202)	Data 0.000 (0.001)	Loss 2.1558 (2.2463)	Prec@1 0.000 (28.404)	Prec@5 100.000 (72.772)
Epoch: [0][1040/2049], lr: 0.00100	Time 0.192 (0.202)	Data 0.000 (0.001)	Loss 1.1433 (2.2382)	Prec@1 100.000 (28.722)	Prec@5 100.000 (73.103)
Epoch: [0][1060/2049], lr: 0.00100	Time 0.197 (0.202)	Data 0.000 (0.001)	Loss 1.6064 (2.2380)	Prec@1 100.000 (28.935)	Prec@5 100.000 (73.233)
Epoch: [0][1080/2049], lr: 0.00100	Time 0.193 (0.202)	Data 0.000 (0.001)	Loss 1.2110 (2.2367)	Prec@1 100.000 (29.232)	Prec@5 100.000 (73.451)
Epoch: [0][1100/2049], lr: 0.00100	Time 0.196 (0.202)	Data 0.000 (0.001)	Loss 1.7531 (2.2300)	Prec@1 0.000 (29.428)	Prec@5 100.000 (73.569)
Epoch: [0][1120/2049], lr: 0.00100	Time 0.197 (0.201)	Data 0.000 (0.001)	Loss 1.5184 (2.2237)	Prec@1 100.000 (29.706)	Prec@5 100.000 (73.773)
Epoch: [0][1140/2049], lr: 0.00100	Time 0.194 (0.201)	Data 0.000 (0.001)	Loss 0.6073 (2.2117)	Prec@1 100.000 (29.798)	Prec@5 100.000 (74.058)
Epoch: [0][1160/2049], lr: 0.00100	Time 0.192 (0.201)	Data 0.000 (0.001)	Loss 0.8769 (2.2015)	Prec@1 100.000 (29.802)	Prec@5 100.000 (74.419)
Epoch: [0][1180/2049], lr: 0.00100	Time 0.194 (0.201)	Data 0.000 (0.001)	Loss 2.6797 (2.1954)	Prec@1 0.000 (30.059)	Prec@5 100.000 (74.344)
Epoch: [0][1200/2049], lr: 0.00100	Time 0.193 (0.201)	Data 0.000 (0.001)	Loss 1.7001 (2.1992)	Prec@1 0.000 (29.892)	Prec@5 100.000 (74.271)
Epoch: [0][1220/2049], lr: 0.00100	Time 0.196 (0.201)	Data 0.000 (0.001)	Loss 4.8632 (2.1956)	Prec@1 0.000 (29.894)	Prec@5 100.000 (74.529)
Epoch: [0][1240/2049], lr: 0.00100	Time 0.194 (0.201)	Data 0.000 (0.001)	Loss 2.4241 (2.1886)	Prec@1 0.000 (30.137)	Prec@5 100.000 (74.537)
Epoch: [0][1260/2049], lr: 0.00100	Time 0.195 (0.201)	Data 0.000 (0.001)	Loss 1.0403 (2.1843)	Prec@1 100.000 (30.293)	Prec@5 100.000 (74.544)
Epoch: [0][1280/2049], lr: 0.00100	Time 0.191 (0.201)	Data 0.000 (0.001)	Loss 4.1309 (2.1764)	Prec@1 0.000 (30.289)	Prec@5 0.000 (74.785)
Epoch: [0][1300/2049], lr: 0.00100	Time 0.195 (0.201)	Data 0.000 (0.001)	Loss 1.1743 (2.1728)	Prec@1 0.000 (30.361)	Prec@5 100.000 (74.942)
Epoch: [0][1320/2049], lr: 0.00100	Time 0.194 (0.201)	Data 0.000 (0.001)	Loss 1.7970 (2.1635)	Prec@1 0.000 (30.810)	Prec@5 100.000 (75.170)
Epoch: [0][1340/2049], lr: 0.00100	Time 0.194 (0.201)	Data 0.000 (0.001)	Loss 0.0024 (2.1587)	Prec@1 100.000 (30.872)	Prec@5 100.000 (75.317)
Epoch: [0][1360/2049], lr: 0.00100	Time 0.194 (0.200)	Data 0.000 (0.001)	Loss 2.3253 (2.1502)	Prec@1 0.000 (31.080)	Prec@5 100.000 (75.533)
Epoch: [0][1380/2049], lr: 0.00100	Time 0.197 (0.200)	Data 0.000 (0.001)	Loss 2.6471 (2.1462)	Prec@1 0.000 (31.282)	Prec@5 100.000 (75.815)
Epoch: [0][1400/2049], lr: 0.00100	Time 0.197 (0.200)	Data 0.000 (0.001)	Loss 3.4708 (2.1452)	Prec@1 0.000 (31.192)	Prec@5 0.000 (75.874)
